USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      380   4.0  1.1 413207360 188336   ??  Ss    5:39PM   8:01.41 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
kaustubh          1477   0.9  2.4 417495248 406352   ??  S     5:53PM   4:14.69 /Applications/ChatGPT.app/Contents/MacOS/ChatGPT
root               375   0.2  0.1 426967744  17296   ??  Ss    5:39PM   0:05.35 /usr/libexec/corebrightnessd --launchd
_driverkit         549   0.1  0.2 426918064  39776   ??  Ss    5:39PM   0:20.54 /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN com.apple.bcmwlan 0x100000b8e com.apple.DriverKit-AppleBCMWLAN
root               310   0.1  0.3 427079104  56432   ??  Ss    5:39PM   0:12.49 /usr/libexec/logd
kaustubh          1734   0.0  0.1 426967184  10592   ??  Ss    6:12PM   0:00.03 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
root              1732   0.0  0.1 426972256  20416   ??  S     6:12PM   0:00.43 /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
kaustubh          1729   0.0  0.1 426986720  23616   ??  S     6:12PM   0:00.16 /System/Library/PrivateFrameworks/CoreParsec.framework/parsec-fbf
kaustubh          1723   0.0  0.1 426966720  15312   ??  S     6:12PM   0:00.06 /System/Library/PrivateFrameworks/IMDPersistence.framework/IMAutomaticHistoryDeletionAgent.app/Contents/MacOS/IMAutomaticHistoryDeletionAgent
kaustubh          1699   0.0  0.1 427130016  11072   ??  S     6:09PM   0:00.04 /System/Cryptexes/App/usr/libexec/webpushd --machServiceName com.apple.webkit.webpushd.service
kaustubh          1698   0.0  0.1 426911904  12912   ??  Ss    6:09PM   0:00.13 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
_diagnosticservicesd  1660   0.0  0.1 410772592   9600   ??  Ss    6:07PM   0:00.05 /System/Library/CoreServices/diagnosticservicesd
kaustubh          1650   0.0  0.2 426982512  35696   ??  S     6:05PM   0:00.50 /System/iOSSupport/System/Library/PrivateFrameworks/HomeEnergyDaemon.framework/Support/homeenergyd
kaustubh          1602   0.0  0.1 426957808  14640   ??  Ss    6:01PM   0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh          1601   0.0  0.1 426953712  14416   ??  Ss    6:01PM   0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh          1575   0.0  0.0 410322128   7136   ??  Ss    5:59PM   0:00.03 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
kaustubh          1574   0.0  0.2 427160000  28368   ??  Ss    5:59PM   0:00.11 /System/Library/ExtensionKit/Extensions/AudiovisualThumbnailExtension.appex/Contents/MacOS/AudiovisualThumbnailExtension
kaustubh          1564   0.0  0.0 426933104   5072   ??  S     5:58PM   0:00.03 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper
root              1557   0.0  0.0 426933152   7296   ??  Ss    5:58PM   0:00.04 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheManagerService.xpc/Contents/MacOS/AssetCacheManagerService
kaustubh          1546   0.0  0.1 426977840  14400   ??  Ss    5:58PM   0:00.12 /System/Library/ExtensionKit/Extensions/PackageThumbnailExtension.appex/Contents/MacOS/PackageThumbnailExtension
kaustubh          1545   0.0  0.3 413632304  48528   ??  S     5:58PM   0:00.36 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/managedcorespotlightd
kaustubh          1541   0.0  0.4 499089632  65216   ??  Ss    5:58PM   0:00.13 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kaustubh          1508   0.0  0.1 426966544  10656   ??  S     5:55PM   0:00.08 /System/Library/CoreServices/rcd.app/Contents/MacOS/rcd
root              1502   0.0  0.1 426966288  10464   ??  Ss    5:54PM   0:00.04 /usr/libexec/powerdatad
kaustubh          1478   0.0  0.4 412195728  66704   ??  S     5:53PM   0:01.18 Contents/Resources/ChatGPTHelper
kaustubh          1441   0.0  0.9 412652640 151712   ??  S     5:53PM   0:35.05 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
kaustubh          1436   0.0  1.9 499398624 316208   ??  Ss    5:52PM   0:27.49 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kaustubh          1428   0.0  0.2 411287824  36896   ??  Ss    5:51PM   0:00.29 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
root              1386   0.0  1.1 426968496 177456   ??  Ss    5:50PM   0:07.28 /System/Library/PrivateFrameworks/AppleNeuralEngine.framework/XPCServices/ANECompilerService.xpc/Contents/MacOS/ANECompilerService
kaustubh          1384   0.0  0.1 426973632  19904   ??  S     5:50PM   0:00.41 /System/Library/PrivateFrameworks/Stickers.framework/Support/stickersd
kaustubh          1383   0.0  0.1 427157920   8832   ??  S     5:50PM   0:00.07 /System/Library/PrivateFrameworks/CharacterPicker.framework/Versions/A/XPCServices/com.apple.CharacterPicker.FileService.xpc/Contents/MacOS/com.apple.CharacterPicker.FileService
kaustubh          1360   0.0  0.6 427199696 104352   ??  Ss    5:49PM   0:01.11 /System/Library/ExtensionKit/Extensions/TextThumbnailExtension.appex/Contents/MacOS/TextThumbnailExtension
kaustubh          1359   0.0  0.1 426943776  11600   ??  Ss    5:49PM   0:00.29 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh          1340   0.0  0.1 426953712  13904   ??  Ss    5:49PM   0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh          1341   0.0  0.1 426953712  13712   ??  Ss    5:49PM   0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
kaustubh          1339   0.0  0.1 426915184  15904   ??  Ss    5:49PM   0:00.13 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices/VTDecoderXPCService.xpc/Contents/MacOS/VTDecoderXPCService
kaustubh          1327   0.0  0.3 499026736  55664   ??  Ss    5:48PM   0:00.14 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
kaustubh          1320   0.0  0.2 427030800  28880   ??  S     5:48PM   0:00.20 /System/Library/PrivateFrameworks/PaperKit.framework/Contents/LinkedNotesUIService.app/Contents/MacOS/LinkedNotesUIService
kaustubh          1318   0.0  0.0 410191264   3616   ??  Ss    5:48PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
kaustubh          1311   0.0  0.4 427181376  61568   ??  S     5:47PM   0:00.23 /System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent
kaustubh          1307   0.0  0.0 426929104   4352   ??  Ss    5:47PM   0:00.01 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/SpeechSynthesis.framework/Versions/A/XPCServices/SpeechSynthesisServerXPC.xpc/Contents/MacOS/SpeechSynthesisServerXPC
kaustubh          1306   0.0  0.1 411048368   9872   ??  Ss    5:47PM   0:00.03 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.BrowserDataImportingService.xpc/Contents/MacOS/com.apple.Safari.BrowserDataImportingService
kaustubh          1281   0.0  0.1 426976768  14960   ??  Ss    5:46PM   0:00.02 /System/Library/ExtensionKit/Extensions/GMSSELFIngestor.appex/Contents/MacOS/GMSSELFIngestor
kaustubh          1280   0.0  0.1 426943264  15056   ??  Ss    5:46PM   0:00.10 /System/Library/ExtensionKit/Extensions/BiomeSELFIngestor.appex/Contents/MacOS/BiomeSELFIngestor
kaustubh          1279   0.0  0.1 426943408  13056   ??  Ss    5:46PM   0:00.03 /System/Library/ExtensionKit/Extensions/IFTelemetrySELFIngestor.appex/Contents/MacOS/IFTelemetrySELFIngestor
kaustubh          1278   0.0  0.1 426943264  13760   ??  Ss    5:46PM   0:00.05 /System/Library/ExtensionKit/Extensions/IFTranscriptSELFIngestor.appex/Contents/MacOS/IFTranscriptSELFIngestor
kaustubh          1277   0.0  0.1 426933648   8432   ??  Ss    5:46PM   0:00.11 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh          1276   0.0  0.1 410825648  22512   ??  Ss    5:46PM   0:00.50 /System/Library/PrivateFrameworks/SiriAnalytics.framework/Versions/A/XPCServices/SAExtensionOrchestrator.xpc/Contents/MacOS/SAExtensionOrchestrator
root              1272   0.0  0.0 426933088   7616   ??  Ss    5:46PM   0:00.04 /usr/libexec/betaenrollmentd
kaustubh          1271   0.0  0.1 426966992  10368   ??  S     5:46PM   0:00.05 /usr/libexec/betaenrollmentagent
kaustubh          1263   0.0  0.1 426967056  14560   ??  S     5:45PM   0:00.08 /System/Library/CoreServices/EscrowSecurityAlert.app/Contents/MacOS/EscrowSecurityAlert
kaustubh          1260   0.0  0.1 426943264  11840   ??  Ss    5:45PM   0:00.20 /System/Library/Frameworks/ExtensionFoundation.framework/Versions/A/XPCServices/extensionkitservice.xpc/Contents/MacOS/extensionkitservice
kaustubh          1259   0.0  0.2 427152288  25840   ??  S     5:45PM   0:00.33 /System/Cryptexes/App/usr/libexec/AuthenticationServicesAgent
kaustubh          1258   0.0  0.1 426978896  23952   ??  S     5:45PM   0:00.25 /usr/libexec/mlhostd
root              1248   0.0  0.0 426933600   6544   ??  Ss    5:45PM   0:00.04 /usr/libexec/mmaintenanced
root              1245   0.0  0.1 426935008  14128   ??  Ss    5:45PM   0:01.70 /usr/libexec/ASPCarryLog
kaustubh          1241   0.0  0.1 426978304  22448   ??  S     5:44PM   0:00.49 /usr/libexec/proactived
kaustubh          1208   0.0  0.2 426978624  30320   ??  S     5:44PM   0:00.49 /usr/libexec/tipsd
kaustubh          1207   0.0  0.1 426933152  10560   ??  S     5:44PM   0:00.04 /usr/libexec/feedbackd
root              1197   0.0  0.0 426966896   6752   ??  Ss    5:43PM   0:00.02 /System/Library/PrivateFrameworks/SystemAdministration.framework/XPCServices/writeconfig.xpc/Contents/MacOS/writeconfig
kaustubh          1194   0.0  0.1 426971920  22288   ??  S     5:42PM   0:00.35 cloudphotod
kaustubh          1181   0.0  0.2 427020368  36608   ??  S     5:42PM   0:01.00 /usr/libexec/studentd
kaustubh          1173   0.0  0.1 426933152  11488   ??  S     5:42PM   0:00.16 /System/Library/PrivateFrameworks/PhotoAnalysis.framework/Versions/A/Support/photoanalysisd
kaustubh          1168   0.0  0.1 426967584  19312   ??  S     5:42PM   0:00.07 /System/Library/PrivateFrameworks/CloudPhotoServices.framework/Versions/A/XPCServices/com.apple.CloudPhotosConfiguration.xpc/Contents/MacOS/com.apple.CloudPhotosConfiguration
kaustubh          1160   0.0  0.3 411730400  57712   ??  S     5:42PM   0:00.59 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn launchd -s
root              1158   0.0  0.3 426966960  49712   ??  Ss    5:42PM   0:01.49 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XprotectService.xpc/Contents/MacOS/XprotectService
kaustubh          1156   0.0  0.0 426928960   3200   ??  S     5:42PM   0:00.01 /System/Library/PrivateFrameworks/KerberosHelper/Helpers/DiskUnmountWatcher
kaustubh          1148   0.0  0.1 426970240  19424   ??  Ss    5:42PM   0:00.22 /System/Library/Frameworks/CoreGraphics.framework/Versions/A/XPCServices/CGPDFService.xpc/Contents/MacOS/CGPDFService
kaustubh          1135   0.0  0.0 410462416   7248   ??  Ss    5:42PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              1134   0.0  0.0 410314960   7120   ??  Ss    5:42PM   0:00.04 /System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper
root              1129   0.0  0.1 426967600  12160   ??  Ss    5:41PM   0:00.05 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A/XPCServices/XProtectUpdateService.xpc/Contents/MacOS/XProtectUpdateService
root              1128   0.0  0.0 426929088   5648   ??  Ss    5:41PM   0:00.02 /usr/libexec/tzd
kaustubh          1127   0.0  0.1 426966864  14576   ??  S     5:41PM   0:00.28 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
kaustubh          1124   0.0  0.1 426992976  14800   ??  S     5:41PM   0:00.18 /usr/libexec/MTLAssetUpgraderD
kaustubh          1126   0.0  0.1 426984992  18848   ??  S     5:41PM   0:00.19 /System/Library/PrivateFrameworks/BackgroundTaskManagement.framework/Support/BackgroundTaskManagementAgent.app/Contents/MacOS/BackgroundTaskManagementAgent
